Course Code,Course Name,Credit Value,Details,Prerequisites,Corequisites,Exclusion,Recommended Preparation
ABP100Y1,Introduction to Academic Studies,,"This interdisciplinary, skills-focused course parallels the other component courses of the full-time Academic Bridging Program, supplementing those courses and helping students integrate their entire Academic Bridging experience, while providing intensive, workshop-style training in the fundamental skills needed for success in further university studies in the Humanities and Social Sciences. The course will also provide academic advising and planning, to help students understand and navigate university culture. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",[],[],[],[]
ABP101Y1,Introduction to Academic Studies in the Sciences,,"This interdisciplinary, skills-focused course parallels the other component courses of the full-time ABP Science Option, supplementing those courses and helping students integrate their entire Academic Bridging experience, while providing intensive, workshop-style training in the fundamental skills needed for success in further university studies in Mathematics and the Sciences. The course will also provide academic advising and planning, to help students understand and navigate university culture. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",[],[],[],[]
ABP102Y1,Contemporary Canada,,"This interdisciplinary, foundational course provides an introduction to contemporary Canadian society. The course includes the study of geography, politics, literature and culture through a historical framework of the twentieth century. It also emphasizes particular themes including indigenous issues, Quebec nationalism, gender/women's issues and immigration/multiculturalism. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",[],[],"['JWU100Y1', 'WDW102Y1']",[]
ABP103Y1,Introduction to the Study of Literature,,"This discipline based, writing intensive course introduces essential rhetorical and critical skills, focusing on how to recognize major literary forms and how to read and analyze outstanding classic and contemporary literary works of drama, poetry and fiction. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",[],[],"['ENG185Y1', 'WDW103Y1']",[]
ABP104Y1,Introduction to Environmental Studies,,"This interdisciplinary course introduces the major issues regarding the sustainability of the global environment in the face of human development by integrating humanities and social science with the fundamental concept of environmental science. It examines major environmental problems, such as rapid climate change and land degradation as well as the role and impact of government, economics, and ethics on environmental issues. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",[],[],['WDW104Y1'],[]
ABP105Y1,Indigenous Cultures and Societies,,"This course provides an interdisciplinary focus on key topics relevant to Indigenous communities, historically and in the present. Students will be introduced to diverse cultures, communities, and worldviews of Indigenous peoples of Turtle Island (particularly Canada) and how they have been affected by colonialism. Emphasis will be placed on the ways Indigenous peoples are resisting social, economic, political, and environmental injustices, while revitalizing their identities, knowledges, and communities and creating space for the expression of Indigenous voices. Storytelling that prioritizes the perspectives and worldviews of Indigenous peoples will guide students’ learning about course topics, issues, and concepts. Students will be encouraged to connect their own storied identities and perspectives to course themes and issues. Classes will involve a mix of interactive lectures, class discussion, student-led learning opportunities, and field trips. Class time and assignments will also be devoted to helping students build their critical thinking, reading, and writing skills towards the completion of a research-based essay due at the end of the year. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",[],[],['WDW105Y1'],[]
ABP106Y1,"Media, Culture, and Society",,"This interdisciplinary course provides an introduction to the cultural and social impacts of present-day popular mass media. Themes explored include the economic and political forces that shape the media world, the role of technology, and issues of representation, gender, and social justice. The course examines a wide range of texts, emphasizing popular culture produced in Canada, and students will have the opportunity to draw extensively on their own interactions with popular media. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",[],[],['WDW106Y1'],[]
ABP107Y1,Introduction to University Studies in Mathematics,,"This course focuses on mathematical concepts and skills needed for success in First Year university Math and Science courses. Students will develop quantitative reasoning abilities required to critique arguments and make decisions, and will gain a deep understanding of functions modeling relationships. The course highlights multiple representations of each topic, emphasizing connections, and workshop-style sessions enable students to strengthen the skills they learn. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",[],[],['WDW107Y1'],[]
ABP108Y1,Introduction to University Studies in Chemistry,,"This course covers the fundamental knowledge and skills needed for success in First Year university Chemistry and other Sciences such as Biology. Topics include atoms, elements, and compounds; the chemical and physical properties of gases, liquids, and solids; chemical reactions; and the importance of chemistry in understanding the world around us, with attention to how it can address issues in medicine, the environment, and sustainability. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",[],[],['WDW108Y1'],[]
ABP109Y1,Diverse Histories of Canada,,"This course explores diverse, under-acknowledged narratives of people, such as Indigenous and racialized peoples, within the territories currently known as Canada to challenge monolithic, linear, and uncritical representations of this country's past and future. Archival materials, maps, place names, art, literature, film, and other texts will be approached from interdisciplinary perspectives to reveal different orientations to historical events, social injustices, and futures of this territory. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",[],[],['WDW101Y1'],[]
ACT199H1,Decipher Financial Puzzles in the Media and Pop Culture,,"Have you ever watched a pundit’s passionate rant over financial crisis on TV and wondered whether he was right or wrong? Did you get the full story after watching movies like Margin Call or The Big Short? What was the efficiency market versus behavioral finance debate all about? Did you wonder why everyone in the financial press seem to be calling for a lower debt/equity ratio on banks in the post-crisis era? If you find yourself think about those questions, this is the course for you. We will start from some basic building blocks of finance, such as time value of money and discounting, and proceed to look at some of the important financial controversies you have read or heard in the pop culture or media. Restricted to first-year students. Not eligible for CR/NCR option.",[],[],[],[]
ACT230H1,Mathematics of Finance for Non-Actuaries,,"Introduction to financial mathematics, interest measurement, present value calculation, annuity valuation, loan amortization, consumer financing arrangements, bond valuation. The course is aimed at a general audience who will not be continuing in the actuarial science program. Course manuals fee: $30.",['Complicated'],[],['ACT240H1'],[]
ACT240H1,Mathematics of Investment & Credit,,"Interest, discount and present values, as applied to determine prices and values of annuities, mortgages, bonds, equities; loan repayment schedules and consumer finance payments in general; yield rates on investments given the costs on investments. Course manuals fee: $45.","['MAT137Y1', 'MAT157Y1', 'Complicated']",[],['ACT230H1'],[]
ACT245H1,Financial Principles for Actuarial Science I,,"Term structure of interest rates, cashflow duration, convexity and immunization, forward and futures contracts, interest rate swaps, introduction to investment derivatives and hedging strategies.","['ACT240H1', 'MAT137Y1', 'MAT157Y1', 'Complicated']",[],[],[]
ACT247H1,Introductory Life Contingencies,,"Probability theory applied to survival and to costs and risks of life assurances, life annuities, and pensions; analysis of survival distributions; international actuarial notation. Course manuals fee: $35.","['ACT240H1', 'MAT137Y1', 'MAT157Y1', 'STA257H1']",[],[],[]
ACT348H1,Advanced Life Contingencies,,Determination of benefit premium and benefit reserves for life insurance and annuities; analysis of insurance loss random variables; theory of life contingencies for multiple lives. Course manuals fee: $40.,"['ACT240H1', 'ACT245H1', 'ACT247H1', 'STA257H1', 'STA261H1', 'MAT237Y1', 'MAT257Y1']",[],[],[]
ACT349H1,Corporate Finance for Actuarial Science,,Actuarial applications of financial mathematics and economics.,"['ACT240H1', 'ACT245H1', 'ACT247H1', 'STA257H1', 'STA261H1', 'MAT237Y1', 'MAT257Y1']",[],"['ECO358H1', 'ECO359H1', 'RSM332H1', 'RSM333H1']",[]
ACT350H1,Applied Probability for Actuarial Science,,"The course offers an introduction to elementary probability theory and stochastic processes. The main goal of the course is to help actuarial students understand the concept of stochastic processes with particular emphasis on Markov chains that are of great importance in Life Contingencies and Property and Casualty insurance. The course will cover the following topics: a basic review of probabilities with emphasis on conditional probabilities and expectations, discrete time Markov chains, Poisson processes, continuous time Markov chains, renewal theory and some applications, queueing theory.","['ACT240H1', 'ACT245H1', 'ACT247H1', 'STA257H1', 'MAT223H1', 'MAT240H1', 'MAT237Y1', 'MAT257Y1']",[],[],[]
ACT370H1,Financial Principles for Actuarial Science II,,"Mathematical theory of financial derivatives, discrete and continuous option pricing models, hedging strategies and exotic option valuation.","['ACT240H1', 'ACT245H1', 'ACT247H1', 'STA257H1', 'STA261H1', 'MAT237Y1', 'MAT257Y1']",[],['RSM435H1'],[]
ACT371H1,Basic Reserving Methods For P&C Insurance,,"Topics covered include reserving data and triangles, diagnoses methods that range from triangle of ratios of paid claims to reported claims to triangle of reported claim ratios. The syllabus also includes projection techniques. Not eligible for CR/NCR option.","['ACT240H1', 'STA257H1']",[],[],[]
ACT372H1,Basic Ratemaking Methods For P&C Insurance,,"This course covers the basic ratemaking methods for P&C insurance. It assumes that students are familiar with traditional reserving diagnoses and projection methods. The syllabus would introduce concepts related to earning of exposures, on-level factors, catastrophe loading, large loss loading and credibility. Not eligible for CR/NCR option.",['ACT371H1'],[],[],[]
ACT390H1,Professional Experience in Actuarial Science,,"This course is preparation for an internship work term. It includes various professional skill workshops, networking activities and an invited speaker series. The course is mandatory for students in the Actuarial Science Specialist program. A limited number of spots in the course are open for students in the Actuarial Science Major program. Students in the major program must apply to the department for permission to take the course. This is a CR/NCR course. Students do not pay a course fee for this course. Instead, a $550 ancillary fee will be assessed towards Professional Experience preparatory program costs.",['Complicated'],[],[],[]
ACT391H1,Professional Internship,,"Internship course for students enrolled in the Actuarial Science Specialist, fulfilled as a 12-week work term in a workplace related to actuarial science in third or fourth year.  ACT390H1 must be completed first in preparation. Contact Department for more information. (No tuition fee associated, however an ancillary fee of $720 will be assessed towards Professional Experience placement.)",['ACT390H1'],[],[],[]
ACT398H0,Research Excursions,,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,[],[],[],[]
ACT398Y0,Research Excursions,,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-excursions-program. Not eligible for CR/NCR option.,[],[],[],[]
ACT451H1,Loss Models,,"Loss models policy adjustments, frequency and severity models, compound distributions.","['STA257H1', 'ACT240H1', 'ACT245H1', 'ACT247H1', 'Complicated']",[],[],[]
ACT452H1,Loss Models II,,"Estimation of Loss and Survival Models using complete, censored and truncated data. Product-Limit estimation, empirical estimation, moment and percentile estimation, maximum likelihood estimation and simulation models.","['ACT240H1', 'ACT245H1', 'ACT247H1', 'STA261H1', 'ACT451H1']",[],[],[]
ACT455H1,Advanced Topics in Actuarial Science,,"Advanced life contingencies, multiple decrement theory, insurance policy expenses, multi-state transition models, Poisson processes.","['ACT240H1', 'ACT245H1', 'ACT247H1', 'ACT348H1', 'ACT350H1', 'STA347H1']",[],[],[]
