Course Code,Course Name,Credit Value,Details,Prerequisites,Corequisites,Exclusion,Recommended Preparation
ARC100H1,Drawing and Representation I,,"An introduction to the theories and techniques of visual communication and representation in the design disciplines delivered through a series of lectures and thematic drawing projects. The course serves as a hands-on introduction to representational and geometrical techniques in architecture, landscape architecture, and urbanism.",,,['ARC221H1'],
ARC112H1,Design & Engineering I,,"A studio-based introduction to the methods and processes of design. The course serves as a hands-on exploration of design issues through a series of exercises that introduce students to the conceptual underpinnings of the design process, developing their capacity to conceive, manipulate, and analyze form through a variety of representational media. In collaboration with the foundational course in first-year engineering, students will conduct client-driven community-based research in response to design problems.",,,['JAV101H1'],
ARC180H1,Computation and Design,,"An introduction to computational thought and techniques through a series of exercises, readings, and lectures. Students will investigate the relationship between generative design, culture, and technology in design and art before and after the advent of the digital.",,,,
ARC181H1,"Technologies of Architecture, Landscape, Urbanism, and Art I",,"An introduction to how technology has shaped the disciplines of design and art through a series of case studies that describe paradigmatic episodes at the nexus of architecture, landscape architecture, urbanism, and art.",,,['ARC231H1'],
ARC200H1,Drawing and Representation II,,A course on the theories and techniques of visual communication and representation in the design disciplines delivered through lectures and thematic drawing projects. The course serves as a hands-on introduction to the description of structures and environments as a means of both production and critique.,"['ARC100H1', 'ARC221H1']",,['ARC321H1'],
ARC201H1,Design Studio II,,"A studio-based introduction to design with emphasis upon the production of form and space and the formation of landscapes. The course serves as a hands-on exploration of the relationships between material, tectonic, and programmatic organizations in the context of social, technological, and environmental concerns.","['ARC101H1', 'ARC112H1', 'JAV101H1', 'ARC100H1', 'ARC221H1']",,,
ARC251H1,Close Readings in Architecture,,"Detailed examination of case studies in the history of architecture with close attention to the objects of study. The relationship between design, context, and theory will be explored through analyses of artifacts and texts.","['ARC132H1', 'JAV132H1', 'JAV152H1']",,,
ARC252H1,Close Readings in Landscape Architecture,,"Detailed examination of case studies in the history of landscape architecture with close attention to the objects of study. The relationship between design, context, and theory will be explored through analyses of artifacts and texts.","['ARC132H1', 'JAV132H1', 'JAV152H1']",,,
ARC253H1,Close Readings in Urban Design,,"Detailed examination of case studies in the history of urbanism with close attention to the objects of study. The relationship between design, context, and theory will be explored through analyses of artifacts and texts.","['ARC132H1', 'JAV132H1', 'JAV152H1']",,,
ARC280H1,Modeling and Fabrication in Design,,An introduction to the theories and technologies of modeling. The emphasis of the course will be on the exploration of the relationship between technology and design conceptualization with the aim of developing skills to construct techniques for effective visual communication. The course will be delivered through a series of lectures and workshops.,['ARC180H1'],,,
ARC281H1,"Structures, Building Systems, and Environments I",,"An introduction to structural and environmental design, the technologies of building and landscape systems, and the methods and frameworks through which the built environment is constructed. The calculation of quantitative criteria is taught through first-principles explorations.",,,,
ARC300H0,Summer Studio Abroad,,"An intense travel program led by an instructor to allow advanced students to spend time in a foreign locale, conducting fieldwork, experiencing local design programming, and connecting with professionals.",['Complicated'],,,
ARC300Y0,Summer Studio Abroad,,"An intense travel program led by an instructor to allow advanced students to spend time in a foreign locale, conducting fieldwork, experiencing local design programming, and connecting with professionals.",['Complicated'],,,
ARC302H1,Exploring Design Practices,,"An introduction to the practice of architecture, landscape architecture, urbanism, and visual art through a series of case studies and guest lectures. These classes will be integrated with the lecture series to provide opportunities for students to engage with leading practitioners in design and art.",['JAV152H1'],,,
ARC331Y0,"Studies in International Architecture, Landscape, and Urbanism",,"For students in the International Summer Program. Documentation and analysis of architecture, landscape, and/or urbanism in the city where the programme is based. Topics may include building types, urban morphology and development, public spaces, urban precincts, and ways of life supported by them. Cities may vary each year.",,,,
ARC351H1,Global Modernisms,,"An examination of the question of architectural modernism across the globe from the beginnings of colonialism up to the present moment. Themes relating to claims of universal validity, the transfer of professional knowledge, and political, social, and spatial contestations are examined through case studies.","['ARC251H1', 'ARC252H1', 'ARC253H1']",,,
ARC352H1,History of Architectural Knowledge,,An exploration of the ways in which architecture has made claims to knowledge through various means textual and non-textual since the early modern period.,"['ARC251H1', 'ARC252H1', 'ARC253H1']",,,
ARC353H1,Architecture and Media,,An exploration of the historical relationship between design and media.,"['ARC251H1', 'ARC252H1', 'ARC253H1']",,,
ARC354H1,History of Housing,,An exploration of the question of housing since the beginning of the Industrial Revolution.,"['ARC251H1', 'ARC252H1', 'ARC253H1']",,,
ARC355H1,History of Urbanism,,"A consideration of urbanism through an examination of physical, social, economic, and political factors that have shaped cities and regions from the early modern period up to the present.","['ARC251H1', 'ARC252H1', 'ARC253H1']",,"['ARC333H1', 'ARC334H1']",
ARC356H1,Design History of Landscape Architecture,,"An opportunity to build a historical and theoretical vocabulary for the designed environment. This course will include case studies at multiple scales, focusing on North American examples from the relatively recent past.","['ARC251H1', 'ARC252H1', 'ARC253H1']",,['ARC377H1'],
ARC357H1,Environmental History of Landscape Architecture,,An examination of the global history of the interrelations between societies and their environment. This course examines the organisation of landscape and urban systems in a variety of geographic and cultural regions across the globe and over large spans of time. Please note that ARC356H1 Design History of Landscape Architecture is recommended as background for this course.,"['ARC251H1', 'ARC252H1', 'ARC253H1']",,,
ARC361Y1,Architecture Studio III,,"This studio will focus on residential types and the domestic environment through an exploration of the relationship between building types, tectonics, and material assemblies in an urban context.",['ARC201H1'],,"['ARC363Y1', 'ARC380Y1']",
ARC362Y1,Architecture Studio IV,,"This studio will focus on the design of a public program or institution in an urban setting through an exploration of the relationship between building types, tectonics, and material assemblies in an urban context.","['ARC361Y1', 'ARC363Y1']",,"['ARC364Y1', 'ARC381Y1']",
ARC363Y1,Landscape Architecture Studio III,,"This studio will address urban form, context, and significance as factors in the creation of public space, with a focus on sites at block and neighbourhood scales.",['ARC201H1'],,"['ARC314H1', 'ARC361Y1', 'ARC380Y1']",
ARC364Y1,Landscape Architecture Studio IV,,"This studio will examine the reciprocal influences of landscape and urbanism, with respect to form and process, through a focus on landscapes as urban systems at multiple scales.","['ARC361Y1', 'ARC363Y1']",,"['ARC362Y1', 'ARC381Y1']",
ARC365H1,Selected Topics in Architecture,,Examination of a selected topic in the design of architecture. The focus of the course changes depending upon the instructors research specialty or current issues in architecture.,['ARC201H1'],,,
ARC366H1,Selected Topics in Landscape Architecture,,Examination of a selected topic in the design of landscape architecture. The focus of the course changes depending upon the instructors research specialty or current issues in landscape architecture.,['ARC201H1'],,,
ARC367H1,Selected Topics in Urban Design,,Examination of a selected topic in the design of urbanism. The focus of the course changes depending upon the instructors research specialty or current issues in urban design.,['ARC201H1'],,,
ARC380Y1,Technology Studio III,,"This studio applies knowledge obtained from the prerequisite courses towards project-based design work with the aim of facilitating an understanding of the relationship between emerging digital technologies and production in architecture, landscape architecture, and urbanism through the development of computational tools and algorithmic design.",['ARC201H1'],,"['ARC361Y1', 'ARC363Y1']",
ARC381Y1,Technology Studio IV,,"This studio continues to explore the role of technology in design and promotes innovation in design tool development, building systems, simulation and visualization. Emphasis will be on applying knowledge gained in earlier coursework in a project-based studio setting using computational techniques, physical model making, and 1:1 fabrication and prototyping.",['ARC380Y1'],,"['ARC362Y1', 'ARC364Y1']",
ARC382H1,"Structures, Building Systems, and Environments II",,"Continued exploration of the principles of structural and environmental design, the technologies of building and landscape systems, and the methods and frameworks in which the built environment is constructed. The calculation of quantitative criteria is taught through first-principles explorations.",['ARC281H1'],,,
ARC383H1,"Technologies of Architecture, Landscape, Urbanism, and Art II",,"Building upon the themes and topics explored in Technologies of Architecture, Landscape, Urbanism, and Art I, this course will investigate how technology has shaped the disciplines of design and art through a series of case studies that describe paradigmatic episodes at the nexus of architecture, landscape architecture, urbanism, and art.","['ARC181H1', 'Complicated']",,,
ARC384H1,Simulation and Data Visualization,,"An exploration of the various simulation software programs available to designers, this course will introduce the theory of simulation and discuss the history of its use in science generally and in architecture, landscape architecture, and urbanism specifically.",['ARC382H1'],,,
ARC385H1,Physical Computing,,An exploration of the relationship between computation design and approaches to physical interaction. The course will explore a range of approaches for integrating computation into the physical realm through a series of projects using physical computing prototyping tools.,['ARC280H1'],,,
ARC386H1,Landscape Ecology,,"An introduction to the principles of landscape ecology, addressing the application of evolving scientific understanding to contemporary landscape architecture and urban design practice.",['Complicated'],,['ARC341H1'],
ARC387H1,Landscape Topography and Hydrology,,"An introduction to the manipulation of landform and water in the urban context, studied through digital fabrication and metrics.",['Complicated'],,['ARC341H1'],
ARC395H1,Design Build Studio,,"An opportunity for degree students in their third year in the John H. Daniels Faculty of Architecture, Landscape, and Design to work on an intensive design-build project.  Prerequisite: ARC200H1, ARC201H1. An application must be submitted to the Program Director.Enrolment Limits: This course is restricted to Daniels Faculty students
","['ARC200H1', 'ARC201H1', 'Complicated']",,,
