Course Code,Course Name,Credit Value,Details,Prerequisites,Corequisites,Exclusion,Recommended Preparation
ANA126Y1,Elementary Human Anatomy,,"This is an introductory course on the anatomy of the human body. In the first term, emphasis is placed on the functional overview of anatomy of the human body using a systemic approach. A brief overview of histology is the starting component, followed by more detailed review of the bony and muscular framework of the torso, the respiratory, cardiovascular, gastrointestinal, renal, reproductive and neuroanatomical systems. In the second term, the course covers detailed content on the upper and lower limb musculoskeletal system, covering all bones, joints, muscles and neurovascular supply.",,,"['BIOB33H3', 'BIO210Y5']",
KPE100H1,Physical Cultural Studies,,"This course is an invitation and introduction to the social study of kinesiology, physical education, sport, health, the body and bodies, etc. The goal is to explore and discuss society and culture, particularly as it is stratified along lines of ability, race, gender, class, and sexuality, and to study social issues in kinesiology like violence and performance enhancing drugs. Overall, students are encouraged to use course concepts in developing their own assessments of the social world of kinesiology and physical education.",,,,
KPE120H1,"Foundations of Sport, Exercise, and Health Psychology",,"This is an introductory level course that will aid students’ familiarisation with psychological concepts and applications in sport, exercise, and health settings. This course will introduce students to some of the core topics, underlying theories and basic psychological skills within the area of sport, exercise, and health psychology. Throughout the course, emphasis will be placed on practical familiarisation with the basic psychological concepts common to both sporting and exercise contexts. ",,,,
KPE160H1,Fundamentals of Human Movement,,"This is an inter-disciplinary course introducing biomechanics and neuro-motor behaviour. It describes how humans control the position and movement of their bodies in the gravitational field of earth given the laws of motion and an understanding of how muscles generate force. This includes systems for description, measurement and development of healthy posture, movements, flexibility, and stability; and uses squatting (stance) and walking (gait) as examples of basic movements with which to explore these concepts. The central role of the nervous system in sensation, perception, and the control of motor behaviour, along with introductory principles of motor learning and motor development are also considered. This course will be integrated with KPE182H1.",,['KPE182H1'],,
KPE161H1,Fitness: Principles & Practice,,"An introduction to the components of physical fitness and fitness itself from physiological, behavioural and physical culture points of view. Strength, endurance, flexibility and speed will be examined from their biological basis, their importance to human movement and how each of these components can be altered with appropriate training. This course will be integrated with KPE182H1.",,,,
KPE162H1,Personal Health,,"Among the determinants of health are many lifestyle factors about which we may exercise personal choice – physical activity, nutrition, hygiene, drug use, vehicular safety, sexual practices, use of health care services, and so on. This course focuses on patterns and prevention of diseases, and their relationships with these personal choices. The inter-relationships of various lifestyle choices and the social context in which these choices are made are strong themes throughout. Topics covered include: physical activity and sedentarism, reproduction and contraception, healthy sexuality and sexual abuse, sleep and stress management, health care / self-care practices, immunity and infectious disease, including those transmitted sexually, nutrition, substance use and abuse, cardiovascular diseases, cancer, mental health disorders, trauma, and environmental health issues. ",,,,
KPE182H1,Introduction to Movement Observation and Evaluation,,"Through the investigation of joint range of motion, fitness, stability, and various types of feedback, students will develop the skills needed to observe and critically evaluate movement patterns that commonly occur in sport, clinical, workplace and recreational settings, and to design and implement relevant exercise sessions. Students will also be encouraged to develop self-awareness of their own fitness and movement patterns.",,['KPE160H1'],,
KPE190H1,Inquiry in Kinesiology and Physical Education,,"Inquiry is the process of trying to come to an understanding about a problem, an issue or a phenomenon. In this course students develop the foundational skills necessary to critically consider and challenge the ways in which questions and problems are formulated, the purpose and use of research, and the manner in which conclusions are reached, and used, across the range of fields of inquiry in Kinesiology. Particular attention is given to experiential learning processes to generate robust understandings of the philosophical foundation of research as a way to understand how modes of inquiry are shaped and undertaken.",,,,
KPE200H1,Physical Culture and the Human Condition,,"This course places the study of physical culture alongside social and cultural theories regarding the ways in which human life is organized, produced, reproduced and experienced by people. Attention is given to how studies of physical culture provide answers to universal social scientific questions such as what it means to be human and live in a society structured by power relations that privilege some and form the bases of injustice for others. A range of sociological, philosophical, humanities, and cultural theories of how people's participation in physical culture is affected by historical and contemporary relations of power such as structures and processes or normalization, colonialism, racism, patriarchy, neoliberalism, speciesism, environmental injustice and scientization.",['KPE100H1'],,,
KPE220H1,Psychosocial Development,,"Psychosocial domains of human development and optimal functioning over the lifespan are considered in this course. Developmental psychology, positive psychology, health psychology, behavioural medicine, and performance psychology theory and research provide students with foundational knowledge and lifelong skills for personal growth and development, and for diverse roles as kinesiology graduates. Theories of development and behaviour change provide frameworks for exploring topics such as health and wellbeing, resilience, love, relationships, enjoyment, meaning and fulfillment, flourishing, happiness, personal growth, and positive aspects of human functioning. Students will be encouraged to think how psychosocial development, personal experiences, culture, and physical activity influence health and well-being across the lifespan.",['KPE120H1'],,"['PHE101Y1', 'PSY210H1', 'PSY210H1', 'PSYB20H3']",
