Course Code,Course Name,Credit Value,Details,Prerequisites,Corequisites,Exclusion,Recommended Preparation
EMU130Y1,Introduction to Music Education,0.67,An introduction to concepts and contexts to music education with an emphasis on a critical examination of current practice. Introduction to the basics of various approaches to music teaching and learning. ,,,,
EMU150H1,Instrumental Class: Violin,0.17,Introductory study of violin and viola.,['Complicated'],,,
EMU151H1,Instrumental Class: Clarinet,0.17,Introductory study of the clarinet. ,['Complicated'],,,
EMU152H1,Instrumental Class: Trumpet,0.17,Introductory study of the trumpet. ,['Complicated'],,,
EMU154H1,Instrumental Class: Guitar,0.17,Introductory study of the guitar. Pedagogical considerations for class guitar instruction in popular and classical guitar styles. ,,,,
EMU207Y1,Piano Skills for Professional Musicians/Teachers,0.33,"A practice-based course that develops competency in the playing of chord progressions, simple accompaniments, combinations of parts from open choral scores, combinations of transposing parts from instrumental scores, simple sight harmonization of songs, playing by ear, improvisation, and ensemble playing. A music notation software project will be introduced. This course is limited to those with piano skills at a level equivalent to RCM Level 8 or below.",,,,
EMU230H1,Voice Education,0.17,"Introductory study of voice production with attention to breathing technique, tone development and vocal diction. This course focuses on the development of the singing voice for students seeking a basic understanding of how the voice works for singing. Recommended for music education, instrumental, keyboard and composition students interested in singing. ",['Complicated'],,"['EMU231Y1', 'Complicated']",
EMU231H1,Voice Pedagogy for Young Choirs,0.17,"Introductory study of vocal methods for teaching young choirs with attention to breathing techniques, tone production, vocal diction and rehearsal pedagogies relevant to working with children and youth choirs. Recommended for all students interested in learning to work vocally with young singers, ages 6-16. ",['Complicated'],,,
EMU240H1,Theoretical Inquiry in Music Education,0.50,"This course introduces students to theoretical inquiry in music education in the context of diversity related to students, teachers, music, and music educational settings. Through course readings, individual research, classroom interactions, presentations, and writing short essays, students critique existing theories, and develop concepts articulating their own theories of music education that take into account relevant social, political, and ethical questions. ",['Complicated'],,['EMU275Y1'],
EMU245H1,Psychological Foundations of Music Education,0.50,"This course provides an advanced study of the psychological bases of music education. Students will critically reflect on the strengths and weaknesses of prevailing psychological theories in the context of music teaching and learning. Through seminar presentations, research, and the examination of scholarly literature, students will explore the field of music psychology. ",['Complicated'],,['EMU275Y1'],
EMU252H1,Instrumental Class: French Horn,0.17,Introductory study of the French horn. ,['Complicated'],,,
EMU254H1,Instrumental Class: Trombone,0.17,Introductory study of the trombone. ,['Complicated'],,,
EMU256H1,Instrumental Class: Tuba,0.17,Introductory study of the tuba. ,['Complicated'],,,
EMU260H1,Instrumental Class: Cello I,0.17,Introductory study of the cello. ,['Complicated'],,['EMU350H1'],
EMU262H1,Instrumental Class: Percussion,0.17,Practical study of percussion instruments. Care and maintenance of instruments and equipment. Ensemble playing. ,['Complicated'],,['EMU352H1'],
EMU263H1,Instrumental Class: Flute,0.17,Introductory study of the flute. ,['Complicated'],,['EMU353H1'],
EMU264H1,Instrumental Class: Oboe,0.17,Introductory study of the oboe. ,['Complicated'],,['EMU354H1'],
EMU267H1,Instrumental Class: Saxophone,0.17,Introductory study of the saxophone.,['Complicated'],,['EMU357H1'],
EMU268H1,Instrumental Class: Bassoon,0.17,"Introductory study of the bassoon. One hour, one term. ",['Complicated'],,['EMU358H1'],
EMU270H1,Instrumental Class: Double Bass,0.17,"Introductory study of the double bass. One hour, one term. ",['Complicated'],,['EMU450H1'],
EMU305H1,Survey of Improvisation Practices,0.50,"A performance/pedagogical survey of major improvisational practices and techniques from the Renaissance on; their adaptation and application to classroom and/or private teaching. Students gain experience in a wide variety of improvisational approaches including Renaissance vocal polyphony, baroque/classical embellishment, rock/blues/jazz jamming, “open” (free) improvisation and those related to various ‘world’ traditions.","['TMU231H1', 'TMU232H1', 'JMU200Y1', 'JMU201Y1']",,,
EMU330Y1,Choral Music Education,1.00,"The study and practice of choral music with an emphasis on teaching and learning in school and community choral settings. The course will focus on conducting, programming and score study with an emphasis on rehearsal pedagogy. ","['EMU130Y1', 'EMU230H1', 'EMU240H1', 'EMU245H1', 'Complicated']",,"['EMU330H1', 'EMU331H1']",
EMU355Y1,Accompanying,0.33,"The course focuses on developing pianistic, musical and verbal skills in order to succeed in a broad spectrum of collaborative opportunities during a professional career. In-class accompanying presentations and lectures introduce students to professional musician/teacher requirements through collaborative training.  Practical experience in improvisation, sight-reading. Assignments appropriate to level of keyboard facility.","['TMU105Y1', 'TMU107Y1', 'or equivalent']",,,
EMU356Y1,"Instrumental Music I: Curriculum, Conducting, Rehearsal and Repertoire",1.00,A study of techniques for the instruction and administration of wind and string instrumental programs. Analysis and performance of beginning and intermediate band and string orchestra repertoire. ,['Complicated'],['PMU380Y1'],,
EMU359H1,Jazz Education,0.50,"Analysis, methods and materials for jazz education and improvisation techniques. ","['TMU220H1', 'TMU221H1', 'TMU230H1', 'TMU231H1', 'TMU232H1', 'Complicated']",,,
EMU360H1,Jazz Improvisation for Music Education,0.50,Development of improvisation skills through applied performance and theoretical analysis in a variety of jazz styles.,"['TMU220H1', 'TMU221H1', 'TMU230H1', 'TMU231H1', 'TMU232H1']",,['Complicated'],
EMU370Y1,Principles & Practice of Music Education for Children I,0.67,"This course provides an introduction to the philosophical underpinnings and practice-based theories of music education for children. Students will have the opportunity to study the development of musicianship in childhood and explore common theories and educational approaches through seminars, observations, composition and performance experiences, and microteaching opportunities. ",['Complicated'],,,
EMU371H1,Multimodal Approaches to Music Teaching and Learning,0.50,"This course provides a multitude of approaches to music teaching and learning including informal music learning, music technology, community music and improvisatory and creative musical activities in music classrooms. Students will actively create and perform music while crafting a well-rounded curriculum based on the ideas derived from the course. Philosophical underpinnings of such practices will also be examined. ","['EMU240H1', 'EMU245H1', 'Complicated']",,,
EMU372Y1,Movement & Music: Dalcroze Eurhythmics,0.33,"This course focuses on the pedagogy of Dalcroze Eurhythmics, a music education approach that examines the intrinsic relationships between physical movement and the learning/performing of music. Students make a kinaesthetic connection to a wide variety of music through invigorating combinations of free movement, choreography, singing, conducting, improvisation and music games. ",,,,
EMU410H1,Introduction to Research in Music Education,0.50,"An introduction to modes of research in music education, with particular reference to principles of research design and effective research procedures. Students will prepare critiques of research material and will be guided in designing research projects.","['EMU240H1', 'EMU245H1']",,,
EMU425H1,Music and Urban Engagement,0.50,"This course provides a reflective practicum experience in unique urban settings. Under the mentorship of professional community music teachers, students assist and lead music-making sessions with youth from the Regent Park School of Music and/or youth residing in detention centers. Students have the opportunity to investigate how music is an important tool for social justice.","['EMU240H1', 'EMU245H1', 'EMU370Y1']",,,
EMU430H1,Choral Literature & Conducting I,0.50,The study of choral literature and conducting technique with an emphasis on European classical and Contemporary choral music (including selected choral-orchestral repertoire). The weekly class will meet in a combined literature seminar and conducting practicum with piano and/or small instrumental ensemble.,"['EMU330Y1', 'Complicated']",,['EMU430Y1'],
EMU431H1,Choral Literature & Conducting II,0.50,The study of choral literature and conducting technique with an emphasis on European classical and Contemporary choral music (including selected choral-orchestral repertoire). The weekly class will meet in a combined literature and seminar and conducting practicum with piano and/or small instrumental ensemble. ,['EMU430H1'],,['EMU430Y1'],
EMU435H1,Internship in Music Education,0.50,This course provides a community-based experience that will enable students to merge theory and practice in music education. Students will volunteer for three hours a week in a community music or school setting of their choosing. Placements must be approved by the instructor during the first week of classes.,"['EMU240H1', 'EMU245H1', 'EMU356Y1', 'EMU330Y1', 'EMU370Y1', 'EMU361Y1']",,,
EMU437H1,Internship in Anti-Racist and Anti-Oppressive Music Education,0.50,"Students will undertake a unique internship opportunity in partnership with the Toronto District School Board and the Marigold Team (a Black-led organization with a mission to change the visual landscape of music education). Students will lead a series of music education workshops, in schools identified as high needs, that explore culturally relevant and culturally responsive music education through an anti-oppression and anti-racism lens. The focus will be on prioritizing the socio-emotional awareness and well-being of students, while facilitating conversations about historical practices in music education that value one form of musicking over another. Students will be mentored by leaders in Equity, Diversity, and Inclusion. Placements must be approved by the instructor during the first week of classes.","['EMU240H1', 'EMU245H1', 'EMU356Y1', 'EMU330Y1', 'EMU370Y1', 'EMU361Y1']",,,
EMU456Y1,"Instrumental Music II: Advanced Curriculum, Conducting, Rehearsal & Repertoire",1.00,Practical instrumental lab. Selected lecture topics related to teacher effectiveness in an instrumental program. In-field observation and participation. ,['EMU356Y1'],,['PMU480Y1'],
